Name|Abbreviation|FIPS Code|ISO Code|Country Name|Country FIPS Code|Country ISO 2 Character Code|Country ISO 3 Character Code|Country GMI Code
Alberta|AB|CA01|CA-AB|Canada|CA|CA|CAN|CAN|AB
British Columbia|BC|CA02|CA-BC|Canada|CA|CA|CAN|CAN|BC
Manitoba|MB|CA03|CA-MB|Canada|CA|CA|CAN|CAN|MB
New Brunswick|NB|CA04|CA-NB|Canada|CA|CA|CAN|CAN|NB
Newfoundland and Labrador|NL|CA05|CA-NL|Canada|CA|CA|CAN|CAN|NL
Northwest Territories|NT|CA13|CA-NT|Canada|CA|CA|CAN|CAN|NT
Nova Scotia|NS|CA07|CA-NS|Canada|CA|CA|CAN|CAN|NS
Nunavut|NU|CA14|CA-NU|Canada|CA|CA|CAN|CAN|NU
Ontario|ON|CA08|CA-ON|Canada|CA|CA|CAN|CAN|ON
Prince Edward Island|PE|CA09|CA-PE|Canada|CA|CA|CAN|CAN|PE
Quebec|QC|CA10|CA-QC|Canada|CA|CA|CAN|CAN|QC
Saskatchewan|SK|CA11|CA-KS|Canada|CA|CA|CAN|CAN|SK
Yukon Territory|YT|CA12|CA-YT|Canada|CA|CA|CAN|CAN|YT
Aguascalientes|Ags.|MX01|MX-AGU|Mexico|MX|MX|MEX|MEX|AGU
Baja California|B.C.|MX02|MX-BCN|Mexico|MX|MX|MEX|MEX|BCN
Baja California Sur|B.C.S.|MX03|MX-BCS|Mexico|MX|MX|MEX|MEX|BCS
Campeche|Camp.|MX04|MX-CAM|Mexico|MX|MX|MEX|MEX|CAM
Chihuahua|Chih.|MX06|MX-CCH|Mexico|MX|MX|MEX|MEX|CHH
Chiapas|Chis.|MX05|MX-CHP|Mexico|MX|MX|MEX|MEX|CHP
Coahuila|Coah.|MX07|MX-COA|Mexico|MX|MX|MEX|MEX|COA
Colima|Col.|MX08|MX-COL|Mexico|MX|MX|MEX|MEX|COL
Federal District|D.F.|MX09|MX-DIF|Mexico|MX|MX|MEX|MEX|DIF
Durango|Dgo.|MX10|MX-DUR|Mexico|MX|MX|MEX|MEX|DUR
